类型,ます型,て型,ない型,基本型,た型
一类动词,あ（会）います,あって,あわない,あう,あった
一类动词,あ（開）きます,あいて,あかない,あ,あいた
一类动词,あそ（遊）びます,あそんで,あそばない,あそる,あそんだ
一类动词,あら（洗）います,あらって,あらわない,あらう,あらった
一类动词,あります,あって,ない,ある,あった
一类动词,ある（歩）きます,あるいて,あるかない,あるく,あるいた
一类动词,い（言）います,いって,いわない,いう,いった
一类动词,い（行）きます,いって,いかない,いく,いった
一类动词,いそ（急）ぎます,いそいで,いそがない,いそく,いそいだ
一类动词,うた（歌）います,うたって,うたわない,うたう,うたった
一类动词,う（売）ります,うって,うらない,うる,うった
一类动词,えら（選）びます,えらんで,えらばない,えらふ,えらんだ
一类动词,お（置）きます,おいて,おかない,おく,おいた
一类动词,おく（送）ります,书くって,おくらない,お＜る,おくった
一类动词,お（落）とします,おとして,おとさない,おとす,おとした
一类动词,おも（思）います,おもって,おもわない,おもう,おもった
一类动词,およ（泳）ぎます,およいで,およがない,およく,およいだ
一类动词,お（下）ろします,おろして,おろさない,おろす,おろした
一类动词,お（終）わります,おわって,おわらない,おわる,おわった
一类动词,か（買）います,かって,かわない,かう,かった
一类动词,かえ（返）します,かえして,かえさない,かえす,かえした
一类动词,かえ（帰）ります,かえって,かえらない,加元る,かえった
一类动词,かかります,かかって,かからない,かかる,かかった
一类动词,か（書）きます,かいて,かかない,加く,かいた
一类动词,かきます,かいて,かかない,加く,かいた
一类动词,か（貸）します,かして,かさない,かす,かした
一类动词,かわ（渴）きます,かわいて,かわかない,かわく,かわいた
一类动词,き（開）きます,きいて,きかない,きく,きいた
一类动词,き（決）まります,きまって,きまらない,きまる,きまった
一类动词,き（切）ります,きって,きらない,きる,きった
一类动词,け（消）します,けして,けさない,けす,けした
一类动词,こ（込）みます,こんで,こまない,こさ,こんだ
一类动词,ころ（転）びます,ころんで,ころばない,ころ,ころんだ
一类动词,さが（探）します,さがして,さがさない,さがす,さがした
一类动词,さ（咲）きます,さいて,さかない,さく,さいた
一类动词,さわ（触）ります,さわって,さわらない,さわる,さわった
一类动词,し（死）にます,しんで,しなない,し,しんだ
一类动词,し（知）ります,しって,しらない,百,しった
一类动词,す（吸）います,すって,わない,すう,すった
一类动词,すきます,すいて,すかない,すく,すいた
